-3,-108
-2.9,-86.4464
-2.8,-68.3021
-2.7,-53.166
-2.6,-40.6682
-2.5,-30.4687
-2.4,-22.2566
-2.3,-15.7483
-2.2,-10.6867
-2.1,-6.83991
-2,-4
-1.9,-1.98189
-1.8,-0.62208
-1.7,0.22253
-1.6,0.67584
-1.5,0.84375
-1.4,0.81536
-1.3,0.66417
-1.2,0.44928
-1.1,0.21659
-1,-3.33067e-15
-0.9,-0.17739
-0.8,-0.30208
-0.7,-0.36897
-0.6,-0.38016
-0.5,-0.34375
-0.4,-0.27264
-0.3,-0.18333
-0.2,-0.09472
-0.1,-0.02691
1.52656e-15,-6.99113e-30
0.1,-0.03289
0.2,-0.14208
0.3,-0.34047
0.4,-0.63616
0.5,-1.03125
0.6,-1.52064
0.7,-2.09083
0.8,-2.71872
0.9,-3.37041
1,-4
1.1,-4.54839
1.2,-4.94208
1.3,-5.09197
1.4,-4.89216
1.5,-4.21875
1.6,-2.92864
1.7,-0.85833
1.8,2.17728
1.9,6.38609
2,12
2.1,19.2761
2.2,28.4979
2.3,39.9765
2.4,54.0518
2.5,71.0938
2.6,91.5034
2.7,115.714
2.8,144.193
2.9,177.443
